sample_id,pcr_ct,method
"V340324506,V340323982,V340323841,V340324824",25.8,Ct<25_shotgun
"V340324519,V340324064,V340324545,V340324666",33.2,capture
"V340322859,V340322757,V340324229,V340323800",19.7,Ct<25_shotgun
"V340323953,V340322840,V340324282,V340323239",36.8,capture
"V340369829,V340368594,V340367218,V340370066",19.4,Ct<25_shotgun
"V340370223,V340368569,V340368427,V340369980",33.7,capture
"V340370236,V340367810,V340368348,V340368349",23.5,Ct<25_shotgun
"V340367548,V340367780,V340368357,V340368089",18.9,Ct<25_shotgun
"V340367365,V340368017,V340368361,V340368160",25.4,Ct<25_shotgun
"V340367528,V340368009,V340368247,V340368262",25.5,Ct<25_shotgun
"V340368038,V340368839,V340368224,V340368127",24.6,Ct<25_shotgun
"V340367874,V340367739,V340368214,V340368145",22.9,Ct<25_shotgun
"V340367284,V340368801,V340367954,V340368032",27.3,capture
"V340368030,V340368749,V340368114,V340368358",33.4,capture
"V340367862,V340367692,V340368131,V340367995",30.6,capture
"V340368443,V340370271,V340368520,V340367650",39.9,capture
"V340368464,V340370317,V340368690,V340367679",37,capture
"V340367126,V340370333,V340368667,V340367614",27,capture
"V340368158,V340370340,V340368676,V340367590",26.6,capture
"V340367987,V340370352,V340368680,V340367693",25.4,Ct<25_shotgun
"V340367137,V340370398,V340369876,V340367797",35.1,capture
"V340367598,V340370433,V340368730,V340367911",29.2,capture
"V340367405,V340370521,V340368772,V340367938",31.9,capture
"V340367945,V340370539,V340368580,V340368043",28.7,capture
"V340367573,V340370043,V340367569,V340368137",32.6,capture
"V340367715,V340367588,V340368679,V340368506",36.7,capture
"V340368020,V340368572,V340367669,V340367264",16.3,Ct<25_shotgun
"V340367816,V340369323,V340368638,V340367306",33.1,capture
"V340367089,V340369757,V340367602,V340367350",23.5,Ct<25_shotgun
"V340373799,V340374807,V340373219,V340372856",21.9,Ct<25_shotgun
"V340373119,V340373749,V340374264,V340373753",21.9,Ct<25_shotgun
"V340373293,V340374412,V340374725,V340373909",23.7,Ct<25_shotgun
"V340373734,V340373871,V340372881,V340374248",25.5,Ct<25_shotgun
"V340372634,V340373755,V340372780,V340374270",21.6,Ct<25_shotgun
"V340372618,V340374011,V340372807,V340373270",21.4,Ct<25_shotgun
"V340372660,V340373986,V340372805,V340373235",25.5,Ct<25_shotgun
"V340372552,V340373927,V340372824,V340374307",20.8,Ct<25_shotgun
"V340373796,V340373936,V340372853,V340374296",22.5,Ct<25_shotgun
"V340372495,V340374214,V340374648,V340373468",23,Ct<25_shotgun
"V340373813,V340373895,V340374286,V340374557",26.8,capture
"V340372337,V340374201,V340374391,V340373325",26.4,capture
"V340372135,V340374048,V340374378,V340373204",24.6,Ct<25_shotgun
"V340372442,V340374136,V340374233,V340373261",25.7,capture
V340375628,22.5,Ct<25_shotgun
"V340372509,V340374033,V340374652,V340373308",26.4,capture
"V340373352,V340374424,V340374688,V340373961",27.6,capture
"V340413873,V340423015,V340412538,V340413966",21.2,Shotgun
"V340414369,V340412531,V340413203,V340414111",21.3,Shotgun
"V340414373,V340412054,V340422264,V340412252",21.3,Shotgun
"V340412768,V340412927,V340422531,V340413976",23,Shotgun
"V340413249,V340412484,V340423055,V340414027",23.3,Shotgun
"V340414198,V340412657,V340413120,V340412556",24.9,Shotgun
"V340413860,V340413122,V340414560,V340414064",25.2,Shotgun
"V340415198,V340413134,V340413062,V340413343",26.1,capture
"V340414440,V340412090,V340422241,V340412146",26.3,capture
"V340414201,V340422951,V340413179,V340414122",26.5,capture
"V340414300,V340412010,V340422312,V340412083",27,capture
"V340413737,V340413119,V340414534,V340414099",27.9,capture
"V340414240,V340422862,V340422238,V340412065",28.1,capture
"V340414255,V340422831,V340422825,V340412782",28.7,capture
"V340412894,V340413054,V340422575,V340412416",29.5,capture
"V340414488,V340415088,V340422878,V340412512",29.7,capture
"V340413233,V340412481,V340423124,V340414018",31,capture
"V340414146,V340414713,V340422921,V340412603",33.4,capture
"V340413214,V340415135,V340423095,V340414506",33.4,capture
"V340413901,V340412842,V340412743,V340412630",34.2,capture
"V340414127,V340412967,V340423024,V340412794",34.7,capture
"V340414386,V340412098,V340422379,V340412222",37.7,capture
"V340414020,V340414724,V340414583,V340412783",38,capture
"V340413848,V340412520,V340414414,V340413373",38.1,capture
"V340412547,V340422600,V340412130,V340412950",38.2,capture
"V340414284,V340422963,V340412908,V340412370",39,capture
"V340414116,V340414781,V340422938,V340414635",39.2,capture
"V340414321,V340412013,V340422331,V340412049",39.8,capture
"V340412120,V340413004,V340414453,V340412979",20.8,Shotgun
"V340412365,V340414018,V340414369,V340412902",21.7,Shotgun
"V340412083,V340412872,V340414116,V340412524",22.5,Shotgun
"V340412252,V340413256,V340414415,V340412794",23.2,Shotgun
"V340412630,V340413966,V340414324,V340412491",23.4,Shotgun
"V340412530,V340414039,V340414270,V340412910",25,capture
"V340413378,V340412352,V340413897,V340413273",26.2,capture
"V340412061,V340412707,V340414078,V340413252",26.3,capture
"V340412090,V340412839,V340414300,V340414713",26.3,capture
"V340412105,V340412768,V340414040,V340413122",26.5,capture
"V340412183,V340413099,V340414474,V340413226",26.6,capture
"V340413120,V340413901,V340414688,V340415135",26.7,capture
"V340412822,V340414122,V340414249,V340412500",27.4,capture
"V340413343,V340414164,V340413774,V340412540",29.1,capture
"V340412293,V340413847,V340414534,V340412481",29.3,capture
"V340412782,V340414131,V340414233,V340412927",29.8,capture
"V340411676,V340412400,V340413860,V340412535",29.8,capture
"V340413062,V340414201,V340414662,V340415088",29.8,capture
"V340412065,V340412605,V340414020,V340412989",30.1,capture
"V340413106,V340413895,V340414679,V340415175",32.2,capture
"V340412122,V340413020,V340414146,V340412807",34.6,capture
"V340411672,V340412391,V340413848,V340413264",35.8,capture
"V340412031,V340413028,V340414127,V340412657",35.9,capture
"V340412130,V340412282,V340414373,V340412955",37,capture
"V340398871,V340399696,V340399937,V340399832",18.4,Shotgun
"V340398799,V340399618,V340399951,V340399786",19.6,Shotgun
"V340398852,V340399507,V340399860,V340399791",22.8,Shotgun
"V340400058,V340399861,V340399466,V340398618",25.3,capture
"V340399087,V340399664,V340399910,V340399828",27.3,capture
"V340398764,V340399540,V340399356,V340399889",27.3,capture
"V340399927,V340398782,V340399705,V340399491",27.3,capture
"V340399217,V340400024,V340400007,V340399389",29.9,capture
"V340399944,V340400021,V340399716,V340399431",31.3,capture
"V340399164,V340399971,V340399643,V340399515",32.3,capture
"V340399133,V340400014,V340399904,V340399375",32.9,capture
"V340399850,V340400015,V340399487,V340399447",33.2,capture
"V340399207,V340399963,V340399621,V340399488",34.4,capture
"V340400061,V340400039,V340399529,V340399384",35.9,capture
"V340399923,V340398785,V340399655,V340399525",35.9,capture
"V340399936,V340399995,V340399597,V340399421",36.2,capture
"V340399969,V340399780,V340399680,V340399454",36.3,capture
"V340399978,V340400052,V340399686,V340399379",36.9,capture
"V340399238,V340400016,V340399960,V340399435",37.9,capture
"V340399245,V340400032,V340399917,V340399563",37.9,capture
"V340396654,V340396412,V340395895,V340397325",20.7,Shotgun
"V340396803,V340396072,V340396388,V340396281",23.9,Shotgun
"V340397175,V340396983,V340397379,V340397377",24.3,Shotgun
"V340395988,V340396907,V340395681,V340396214",24.6,Shotgun
"V340396585,V340395907,V340396942,V340397340",24.6,Shotgun
"V340397239,V340396924,V340395830,V340396446",26.6,capture
"V340396619,V340395929,V340396939,V340397360",27.4,capture
"V340396815,V340396069,V340396342,V340396272",27.7,capture
"V340396003,V340395692,V340396369,V340395820",28.6,capture
"V340395950,V340395702,V340395665,V340395924",29.8,capture
"V340396634,V340395975,V340395872,V340397289",31.3,capture
"V340396010,V340396968,V340395739,V340396312",31.6,capture
"V340396723,V340396051,V340396315,V340396234",31.9,capture
"V340395925,V340396963,V340395674,V340396061",32.4,capture
"V340396660,V340396039,V340396309,V340396224",32.4,capture
"V340396730,V340395996,V340396869,V340397354",32.6,capture
"V340396704,V340396164,V340396433,V340395972",32.7,capture
"V340396898,V340396098,V340396425,V340396115",33.4,capture
"V340395864,V340396094,V340396698,V340397349",33.6,capture
"V340397228,V340396691,V340397403,V340397412",34.4,capture
"V340396661,V340396322,V340395913,V340395849",34.6,capture
"V340395888,V340396685,V340395806,V340396434",35.9,capture
"V340396120,V340396741,V340395784,V340396395",36,capture
"V340444547,V340444768,V340444075,V340444301",19.3,Shotgun
"V340443564,V340443528,V340444271,V340443920",23.7,Shotgun
"V340443453,V340444050,V340444359,V340443522",24,Shotgun
"V340443990,V340443988,V340444323,V340443714",24.4,Shotgun
"V340444633,V340443930,V340443846,V340444574",25.4,capture
"V340444285,V340443720,V340443692,V340444373",25.5,capture
"V340443594,V340443589,V340444423,V340444106",27.7,capture
"V340443983,V340443973,V340444295,V340443730",28.4,capture
"V340443546,V340443533,V340444265,V340444064",29.3,capture
"V340444094,V340443873,V340444422,V340444476",30.2,capture
"V340444475,V340444755,V340444241,V340444153",31.6,capture
"V340444020,V340443917,V340444346,V340443668",32.8,capture
"V340444103,V340443877,V340444375,V340444428",32.9,capture
"V340444639,V340443949,V340444174,V340444481",34.7,capture
"V340444327,V340443710,V340443548,V340444130",34.7,capture
"V340444147,V340444702,V340443504,V340444479",35.9,capture
"V340466094,V340466595,V340466924,V340466076",15.8,Shotgun
"V340466135,V340466412,V340466929,V340466055",21.5,Shotgun
"V340466615,V340466449,V340465936,V340466293",22.9,Shotgun
"V340465986,V340466639,V340466423,V340466273",24.6,Shotgun
"V340466050,V340466370,V340466439,V340466155",24.7,Shotgun
"V340466268,V340466477,V340466556,V340465895",26.5,capture
